deal_price,price_per_sqm,region_code,region_name,city,district,street,area,realestate_type_name,purpose_name,wall_material_name,floor,area_category,price_per_sqm_category,period_start_date,year_build,year,month
1065000.0,3340.7,66.0,Свердловская область,Нижний Тагил,Не указано,Строителей,318.8,Помещение,Нежилое помещение,Камень,1.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,1980.0,2024,1
5335680.0,299.4,18.0,Удмуртская Республика,Ижевск,Не указано,им Петрова,17824.1,Здание,Нежилое здание,Панели,5.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,2014.0,2024,1
5836320.0,163.7,21.0,Чувашская Республика,Чебоксары,Не указано,Тракторостроителей,35645.3,Здание,Нежилое здание,Не указано,5.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,1980.0,2024,1
48409.08,36.8,2.0,Республика Башкортостан,Белебей,Белебеевский,Сыртлановой,1314.4,Здание,Нежилое здание,Кирпич,1.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,1974.0,2024,1
6000.0,196.7,58.0,Пензенская область,Наровчат,Наровчатский,Лермонтова,30.5,Здание,Нежилое здание,Панели,1.0,30-50 кв.м,До 10 тыс/кв.м,2024-01-01,2000.0,2024,1
173600.0,1297.5,47.0,Ленинградская область,Всеволожск,Всеволожский,Колтушское,133.8,Помещение,Нежилое помещение,Блоки,1.0,100-200 кв.м,До 10 тыс/кв.м,2024-01-01,2011.0,2024,1
1269120.0,1200.0,86.0,Ханты-Мансийский автономный округ,Когалым,Не указано,Строителей,1057.6,Здание,Нежилое здание,Дерево,2.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,1994.0,2024,1
786000.0,1224.3,75.0,Забайкальский край,Шилка,Шилкинский,Баданина,642.0,Здание,Нежилое здание,Панели,2.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,2020.0,2024,1
1641600.0,14775.9,89.0,Ямало-Ненецкий автономный округ,Салехард,Не указано,Игарская,111.1,Помещение,Нежилое помещение,Панели,1.0,100-200 кв.м,10-50 тыс/кв.м,2024-01-01,2002.0,2024,1
23200.0,20.7,46.0,Курская область,Курск,Не указано,Димитрова,1122.1,Здание,Нежилое здание,Кирпич,3.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,1953.0,2024,1
48225.05,1674.5,27.0,Хабаровский край,Амурск,Не указано,Мира,28.8,Помещение,Нежилое помещение,Не указано,3.0,До 30 кв.м,До 10 тыс/кв.м,2024-01-01,1971.0,2024,1
75000.0,870.1,67.0,Смоленская область,город Смоленск,Не указано,Тухачевского,86.2,Помещение,Нежилое помещение,Кирпич,1.0,50-100 кв.м,До 10 тыс/кв.м,2024-01-01,1955.0,2024,1
43817.0,32.9,34.0,Волгоградская область,Волгоград,Не указано,им Дегтярева,1333.8,Здание,Нежилое здание,Блоки,1.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,,2024,1
3952000.0,224.5,50.0,Московская область,Пушкино,Пушкинский,Чехова,17606.4,Здание,Нежилое здание,Блоки,11.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,2009.0,2024,1
285000.0,855.9,74.0,Челябинская область,Большие Харлуши,Сосновский,Вознесенская,333.0,Здание,Нежилое здание,Панели,1.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,2016.0,2024,1
1384944.0,727.8,23.0,Краснодарский край,Краснодар,Не указано,Новороссийская,1903.0,Здание,Нежилое здание,Блоки,4.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,2011.0,2024,1
600000.0,423.9,62.0,Рязанская область,Телебукино,Касимовский,Не указано,1415.3,Здание,Нежилое здание,Панели,3.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,2013.0,2024,1
6000.0,53.8,75.0,Забайкальский край,Зугалай,Могойтуйский,Намсараева,111.6,Здание,Нежилое здание,Блоки,1.0,100-200 кв.м,До 10 тыс/кв.м,2024-01-01,2005.0,2024,1
850.0,11.3,4.0,Республика Алтай,Кош-Агач,Кош-Агачский,Чуйская,75.3,Здание,Жилое здание,Дерево,1.0,50-100 кв.м,До 10 тыс/кв.м,2024-01-01,1994.0,2024,1
6600000.0,13007.5,66.0,Свердловская область,Арамиль,Сысертский,Ленина,507.4,Здание,Нежилое здание,Блоки,1.0,Свыше 200 кв.м,10-50 тыс/кв.м,2024-01-01,2023.0,2024,1
30997900.8,28215.8,16.0,Республика Татарстан,Казань,Не указано,Аметьевская магистраль,1098.6,Помещение,Нежилое помещение,Металл,1.0,Свыше 200 кв.м,10-50 тыс/кв.м,2024-01-01,2019.0,2024,1
3834586.68,6949.2,27.0,Хабаровский край,Хабаровск,Не указано,Ленина,551.8,Здание,Нежилое здание,Кирпич,2.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,1990.0,2024,1
90000.0,171.8,91.0,Республика Крым,Ялта,Не указано,Советская,524.0,Здание,Нежилое здание,Панели,2.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,1950.0,2024,1
1200000.0,500.8,76.0,Ярославская область,Семибратово,Ростовский,Советская,2396.1,Здание,Нежилое здание,Блоки,1.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,,2024,1
1418400.0,16746.2,13.0,Республика Мордовия,Саранск,Не указано,Полежаева,84.7,Здание,Нежилое здание,Кирпич,1.0,50-100 кв.м,10-50 тыс/кв.м,2024-01-01,2000.0,2024,1
732000.0,898.6,39.0,Калининградская область,Балтийск,Балтийский,Ленина,814.6,Здание,Нежилое здание,Кирпич,1.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,1987.0,2024,1
40230.0,619.9,61.0,Ростовская область,Ростов-на-Дону,Не указано,Буденновский,64.9,Помещение,Нежилое помещение,Не указано,5.0,50-100 кв.м,До 10 тыс/кв.м,2024-01-01,,2024,1
584658.0,50.1,50.0,Московская область,Дубна,Не указано,Программистов,11665.9,Здание,Нежилое здание,Кирпич,4.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,2008.0,2024,1
4536000.0,4605.5,2.0,Республика Башкортостан,Уфа,Не указано,Нагаевское,984.9,Здание,Нежилое здание,Блоки,1.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,2023.0,2024,1
861000.0,6000.0,62.0,Рязанская область,Тумское,Клепиковский,Ленина,143.5,Здание,Нежилое здание,Кирпич,1.0,100-200 кв.м,До 10 тыс/кв.м,2024-01-01,,2024,1
96000.0,916.0,2.0,Республика Башкортостан,Буздяк,Буздякский,Не указано,104.8,Здание,Нежилое здание,Блоки,1.0,100-200 кв.м,До 10 тыс/кв.м,2024-01-01,1970.0,2024,1
19082.08,106.2,91.0,Республика Крым,Феодосия,Не указано,Ленина,179.7,Помещение,Нежилое помещение,Блоки,1.0,100-200 кв.м,До 10 тыс/кв.м,2024-01-01,1965.0,2024,1
115000.0,313.5,23.0,Краснодарский край,Геленджик,Не указано,Халтурина,366.8,Здание,Нежилое здание,Блоки,2.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,1956.0,2024,1
426650.0,573.7,22.0,Алтайский край,Шипуново,Шипуновский,Мамонтова,743.7,Помещение,Нежилое помещение,Панели,1.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,2013.0,2024,1
6000000.0,20215.6,14.0,Республика Саха (Якутия),Якутск,Не указано,Аммосова,296.8,Здание,Нежилое здание,Панели,1.0,Свыше 200 кв.м,10-50 тыс/кв.м,2024-01-01,2007.0,2024,1
1695638.23,28.9,78.0,Санкт-Петербург,Не указано,Не указано,Одоевского,58687.0,Здание,Нежилое здание,Не указано,,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,2001.0,2024,1
98853.3,79.8,47.0,Ленинградская область,Сланцы,Сланцевский,Почтовый,1238.2,Здание,Нежилое здание,Кирпич,2.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,1946.0,2024,1
91520.0,132.9,22.0,Алтайский край,Барнаул,Не указано,Павловский,688.5,Помещение,Нежилое помещение,Блоки,4.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,2014.0,2024,1
