type,price,price_per_sqm,area,rooms,living_area,kitchen_area,gas,material,build_year,build_series_category,published,updated,level,levels,rubbish_chute,enterances,build_overlap,build_walls,heating,areaRating,city,remoute_from_center,agencyName,longitude,latitude
Многоквартирный дом,14000.0,250.0,56.0,2,,,Да,кирпич,1975.0,panel_series,2022-02-10,2022-02-10,1,5,Нет,6,Железобетонные,Панельные,центральное,3.6344512,Йошкар-Ола,2.988009628081362,Аренда квартир,47.842682,56.634585
Многоквартирный дом,9000.0,257.0,35.0,1,,9.0,Да,кирпич,2000.0,monolith_series,2022-01-30,2022-02-04,7,10,Нет,2,Железобетонные,Смешанные,центральное,3.6344512,Йошкар-Ола,2.7505994579357447,Первый Мега-магазин недвижимости,47.8494722883605,56.64837135811671
Многоквартирный дом,26000.0,407.0,63.9,2,,10.0,Да,кирпич,2006.0,brick_series,2021-09-10,2022-02-09,4,6,Нет,4,Железобетонные,Кирпич,квартирное отопление (квартирный котел),3.6344512,Йошкар-Ола,0.8851827285913043,Надежда(Агентство),47.902519,56.643391
Квартира,12000.0,387.0,31.0,1,,,unknown,кирпич,,unknown,2022-02-09,2022-02-10,1,9,0,0,0,0,0,3.6344512,Йошкар-Ола,4.362699744833926,Наталья,47.81971,56.637646
Квартира,20000.0,435.0,46.0,1,24.0,14.0,unknown,кирпич,,unknown,2022-02-03,2022-02-03,4,9,0,0,0,0,0,3.6344512,Йошкар-Ола,1.2974244264463586,"Риелторская компания ""Партнеры""",47.88307,56.62792099999999
Многоквартирный дом,30000.0,300.0,100.0,4,,,Да,кирпич,1969.0,brick_series,2018-04-26,2022-02-10,5,5,Нет,3,Железобетонные,Кирпич,центральное,3.6344512,Йошкар-Ола,1.338355061207979,Людмила,47.887706,56.626871
Многоквартирный дом,12000.0,270.0,44.5,2,,,Да,кирпич,1963.0,other_series,2022-02-05,2022-02-05,2,5,Нет,3,Железобетонные,Монолитные,центральное,3.6344512,Йошкар-Ола,4.086843381377171,Ирина,47.952573,56.625089
Квартира,12000.0,333.0,36.0,1,16.0,11.0,unknown,кирпич,,unknown,2022-02-05,2022-02-09,3,9,0,0,0,0,0,3.6344512,Йошкар-Ола,4.166599971563895,Отдел Продаж,47.822883,56.639342000000006
Многоквартирный дом,8000.0,178.0,45.0,2,25.0,6.0,Нет,кирпич,1979.0,unknown,2022-01-23,2022-02-08,3,9,Есть,1,Железобетонные,Кирпич,центральное,3.6344512,Йошкар-Ола,3.1663771777207783,Первый Мега-магазин недвижимости,47.941012,56.632268
Многоквартирный дом,15000.0,429.0,35.0,1,,10.0,Да,кирпич,1979.0,brick_series,2022-02-02,2022-02-04,4,5,Нет,3,Железобетонные,Кирпич,центральное,3.6344512,Йошкар-Ола,0.3328600755168941,Анастасия К,47.885882,56.640055
